date,equity
2023-07-02,106992.1609455725
2023-07-03,106992.1609455725
2023-07-04,106992.1609455725
2023-07-05,106992.1609455725
2023-07-06,106992.1609455725
2023-07-07,106992.1609455725
2023-07-08,106992.1609455725
2023-07-09,106992.1609455725
2023-07-10,106992.1609455725
2023-07-11,106992.1609455725
2023-07-12,106992.1609455725
2023-07-13,106992.1609455725
2023-07-14,106992.1609455725
2023-07-15,106992.1609455725
2023-07-16,106992.1609455725
2023-07-17,106992.1609455725
2023-07-18,106992.1609455725
2023-07-19,106992.1609455725
2023-07-20,106992.1609455725
2023-07-21,106992.1609455725
2023-07-22,106992.1609455725
2023-07-23,106992.1609455725
2023-07-24,106992.1609455725
2023-07-25,106992.1609455725
2023-07-26,106992.1609455725
2023-07-27,106992.1609455725
2023-07-28,106992.1609455725
2023-07-29,106992.1609455725
2023-07-30,106992.1609455725
2023-07-31,106992.1609455725
2023-08-01,106992.1609455725
2023-08-02,106992.1609455725
2023-08-03,106992.1609455725
2023-08-04,106992.1609455725
2023-08-05,106992.1609455725
2023-08-06,106992.1609455725
2023-08-07,106992.1609455725
2023-08-08,106992.1609455725
2023-08-09,106992.1609455725
2023-08-10,106992.1609455725
2023-08-11,106992.1609455725
2023-08-12,106992.1609455725
2023-08-13,106992.1609455725
2023-08-14,106992.1609455725
2023-08-15,106992.1609455725
2023-08-16,106992.1609455725
2023-08-17,106992.1609455725
2023-08-18,106396.61344290499
2023-08-19,106442.813442905
2023-08-20,106530.413442905
2023-08-21,106469.913442905
2023-08-22,106398.913442905
2023-08-23,106773.71344290499
2023-08-24,106519.11344290499
2023-08-25,106406.21344290499
2023-08-26,106358.813442905
2023-08-27,106442.21344290499
2023-08-28,106461.013442905
2023-08-29,108054.61344290499
2023-08-30,107644.913442905
2023-08-31,106282.513442905
2023-09-01,106150.11344290499
2023-09-02,106210.313442905
2023-09-03,106316.61344290499
2023-09-04,106168.513442905
2023-09-05,106134.21344290499
2023-09-06,106101.913442905
2023-09-07,106595.21344290499
2023-09-08,106254.313442905
2023-09-09,106247.11344290499
2023-09-10,106182.913442905
2023-09-11,105504.913442905
2023-09-12,106180.313442905
2023-09-13,106564.413442905
2023-09-14,106864.813442905
2023-09-15,106945.61344290499
2023-09-16,106901.413442905
2023-09-17,106868.71344290499
2023-09-18,107104.413442905
2023-09-19,107550.513442905
2023-09-20,107462.21344290499
2023-09-21,106907.11344290499
2023-09-22,106921.21344290499
2023-09-23,106917.61344290499
2023-09-24,106586.913442905
2023-09-25,106645.013442905
2023-09-26,106563.313442905
2023-09-27,106714.11344290499
2023-09-28,107366.313442905
2023-09-29,107245.413442905
2023-09-30,107305.413442905
2023-10-01,108335.913442905
2023-10-02,107832.11344290499
2023-10-03,107766.513442905
2023-10-04,108114.313442905
2023-10-05,107752.913442905
2023-10-06,108270.813442905
2023-10-07,108297.513442905
2023-10-08,108255.71344290499
2023-10-09,107932.813442905
2023-10-10,107735.71344290499
2023-10-11,107219.013442905
2023-10-12,107098.513442905
2023-10-13,107204.313442905
2023-10-14,107190.813442905
2023-10-15,107494.313442905
2023-10-16,108840.813442905
2023-10-17,108736.413442905
2023-10-18,108661.61344290499
2023-10-19,109051.413442905
2023-10-20,110007.513442905
2023-10-21,109976.38594748
2023-10-22,109976.38594748
2023-10-23,109976.38594748
2023-10-24,109976.38594748
2023-10-25,109976.38594748
2023-10-26,109976.38594748
2023-10-27,109976.38594748
2023-10-28,109976.38594748
2023-10-29,109976.38594748
2023-10-30,109976.38594748
2023-10-31,109976.38594748
2023-11-01,109976.38594748
2023-11-02,109976.38594748
2023-11-03,109976.38594748
2023-11-04,109976.38594748
2023-11-05,109976.38594748
